minute	concurrent
2026-06-01 12:00:00	0
2026-06-01 12:01:00	0
2026-06-01 12:02:00	0
2026-06-01 12:03:00	0
2026-06-01 12:04:00	0
2026-06-01 12:05:00	0
2026-06-01 12:06:00	0
2026-06-01 12:07:00	0
2026-06-01 12:08:00	0
2026-06-01 12:09:00	0
2026-06-01 12:10:00	0
2026-06-01 12:11:00	0
2026-06-01 12:12:00	0
2026-06-01 12:13:00	0
2026-06-01 12:14:00	0
2026-06-01 12:15:00	0
2026-06-01 12:16:00	0
2026-06-01 12:17:00	0
2026-06-01 12:18:00	0
2026-06-01 12:19:00	0
2026-06-01 12:20:00	0
2026-06-01 12:21:00	0
2026-06-01 12:22:00	0
2026-06-01 12:23:00	0
2026-06-01 12:24:00	0
2026-06-01 12:25:00	0
2026-06-01 12:26:00	0
2026-06-01 12:27:00	0
2026-06-01 12:28:00	0
2026-06-01 12:29:00	0
2026-06-01 12:30:00	0
2026-06-01 12:31:00	0
2026-06-01 12:32:00	0
2026-06-01 12:33:00	0
2026-06-01 12:34:00	0
2026-06-01 12:35:00	0
2026-06-01 12:36:00	0
2026-06-01 12:37:00	0
2026-06-01 12:38:00	0
2026-06-01 12:39:00	0
2026-06-01 12:40:00	0
2026-06-01 12:41:00	0
2026-06-01 12:42:00	0
2026-06-01 12:43:00	0
2026-06-01 12:44:00	0
2026-06-01 12:45:00	0
2026-06-01 12:46:00	0
2026-06-01 12:47:00	0
2026-06-01 12:48:00	0
2026-06-01 12:49:00	0
2026-06-01 12:50:00	0
2026-06-01 12:51:00	0
2026-06-01 12:52:00	0
2026-06-01 12:53:00	0
2026-06-01 12:54:00	0
2026-06-01 12:55:00	0
2026-06-01 12:56:00	0
2026-06-01 12:57:00	0
2026-06-01 12:58:00	0
2026-06-01 12:59:00	0
