epoch_minute	utc_minute	expected_concurrent	status
1787421600	2026-08-22 18:00	4	TRUTH
1787421660	2026-08-22 18:01	4	TRUTH
1787421720	2026-08-22 18:02	4	TRUTH
1787421780	2026-08-22 18:03	4	TRUTH
1787421840	2026-08-22 18:04	4	TRUTH
1787421900	2026-08-22 18:05	4	TRUTH
1787421960	2026-08-22 18:06	4	SPEC_ONLY
1787422020	2026-08-22 18:07	4	SPEC_ONLY
1787422080	2026-08-22 18:08	4	SPEC_ONLY
1787422140	2026-08-22 18:09	4	SPEC_ONLY
1787422200	2026-08-22 18:10	4	SPEC_ONLY
1787422260	2026-08-22 18:11	4	SPEC_ONLY
1787422320	2026-08-22 18:12	4	SPEC_ONLY
1787422380	2026-08-22 18:13	4	SPEC_ONLY
1787422440	2026-08-22 18:14	4	SPEC_ONLY
1787422500	2026-08-22 18:15	4	SPEC_ONLY
1787422560	2026-08-22 18:16	4	SPEC_ONLY
1787422620	2026-08-22 18:17	4	SPEC_ONLY
1787422680	2026-08-22 18:18	4	SPEC_ONLY
1787422740	2026-08-22 18:19	4	SPEC_ONLY
1787422800	2026-08-22 18:20	4	SPEC_ONLY
1787422860	2026-08-22 18:21	4	SPEC_ONLY
1787422920	2026-08-22 18:22	3	SPEC_ONLY
1787422980	2026-08-22 18:23	3	SPEC_ONLY
1787423040	2026-08-22 18:24	3	SPEC_ONLY
1787423100	2026-08-22 18:25	3	SPEC_ONLY
1787423160	2026-08-22 18:26	3	SPEC_ONLY
1787423400	2026-08-22 18:30	1	SPEC_ONLY
1787423460	2026-08-22 18:31	1	SPEC_ONLY
1787423520	2026-08-22 18:32	1	SPEC_ONLY
1787423580	2026-08-22 18:33	1	SPEC_ONLY
1787423640	2026-08-22 18:34	1	SPEC_ONLY
1787423700	2026-08-22 18:35	1	SPEC_ONLY
1787423760	2026-08-22 18:36	1	SPEC_ONLY
1787423820	2026-08-22 18:37	1	SPEC_ONLY
1787423880	2026-08-22 18:38	1	SPEC_ONLY
1787423940	2026-08-22 18:39	1	SPEC_ONLY
1787424000	2026-08-22 18:40	1	SPEC_ONLY
1787424060	2026-08-22 18:41	1	SPEC_ONLY
1787424120	2026-08-22 18:42	1	SPEC_ONLY
1787424180	2026-08-22 18:43	1	SPEC_ONLY
1787424240	2026-08-22 18:44	1	SPEC_ONLY
1787424300	2026-08-22 18:45	1	SPEC_ONLY
1787424360	2026-08-22 18:46	1	SPEC_ONLY
1787424600	2026-08-22 18:50	1	SPEC_ONLY
1787424660	2026-08-22 18:51	1	SPEC_ONLY
1787424720	2026-08-22 18:52	1	SPEC_ONLY
1787424780	2026-08-22 18:53	1	SPEC_ONLY
1787424840	2026-08-22 18:54	1	SPEC_ONLY
1787424900	2026-08-22 18:55	1	SPEC_ONLY
